"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.136026885774465,0.20636267280427,0.29081329211472,0
"2","theta[1]",0.136514962696247,0.205916849207619,0.286570493029,0.05
"3","theta[1]",0.133185282541764,0.205967937199081,0.289231248044654,0.1
"4","theta[1]",0.138355200040117,0.20457391887956,0.283278729304342,0.15
"5","theta[1]",0.137605611082857,0.205882546002401,0.282670525817548,0.2
"6","theta[1]",0.138570039474915,0.202491408593592,0.273475042047605,0.25
"7","theta[1]",0.140809420920197,0.205700163447085,0.279792301754556,0.3
"8","theta[1]",0.143415088682923,0.204255408528595,0.270360639895793,0.35
"9","theta[1]",0.144713140662218,0.20582381321404,0.274230950753389,0.4
"10","theta[1]",0.145035878400819,0.205002988795541,0.273768079921053,0.45
"11","theta[1]",0.144663404403183,0.203808012415373,0.273562124443402,0.5
"12","theta[1]",0.143836978275809,0.203444818574918,0.26862911797758,0.55
"13","theta[1]",0.147151115922615,0.203591879462616,0.266904499440695,0.6
"14","theta[1]",0.145562216256022,0.202768254494509,0.264173379516044,0.65
"15","theta[1]",0.146887318285644,0.203833796674248,0.264930006661829,0.7
"16","theta[1]",0.152359546973816,0.203998940280483,0.264256516494015,0.75
"17","theta[1]",0.146587279967344,0.20227909035647,0.263875288453714,0.8
"18","theta[1]",0.150663508260239,0.203887740405851,0.263457954667666,0.85
"19","theta[1]",0.14959380883553,0.202743104930598,0.261972707014075,0.9
"20","theta[1]",0.150190037272014,0.203149512639319,0.262989627470578,0.95
"21","theta[1]",0.15177457061344,0.20225493249408,0.261475212650529,1
