"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0201961632740615,0.482896425647755,0.966091124576293,0
"2","theta[1]",0.0454896238065541,0.113964028539723,0.214986654229933,0.05
"3","theta[1]",0.0537169665863122,0.107628935766141,0.176099047169751,0.1
"4","theta[1]",0.0604889091312573,0.1048933975564,0.159849542084434,0.15
"5","theta[1]",0.0670529924623116,0.103987056962421,0.150509319827806,0.2
"6","theta[1]",0.0668214748747943,0.102829132105684,0.143768101200931,0.25
"7","theta[1]",0.0704047318569734,0.10171930092292,0.138817451574975,0.3
"8","theta[1]",0.0731531498653097,0.10200235497282,0.135361461804495,0.35
"9","theta[1]",0.0739901873952748,0.102124790826742,0.133460794486183,0.4
"10","theta[1]",0.0742706307884801,0.101252489606126,0.130990260580654,0.45
"11","theta[1]",0.0773812404507182,0.101999606935395,0.128223906037361,0.5
"12","theta[1]",0.0779661114751741,0.101018781213733,0.126548409271607,0.55
"13","theta[1]",0.0778347044131946,0.101035853187539,0.125725597929,0.6
"14","theta[1]",0.078922458405082,0.101409907902488,0.124598419468625,0.65
"15","theta[1]",0.079641330277492,0.101166133000964,0.125086704231856,0.7
"16","theta[1]",0.0802569990810556,0.100852356633906,0.124055365116578,0.75
"17","theta[1]",0.0813370080265943,0.101156886890133,0.122379269951641,0.8
"18","theta[1]",0.0827070380716517,0.101249828268717,0.121956319261175,0.85
"19","theta[1]",0.0825137266808433,0.10103120262307,0.121430385529202,0.9
"20","theta[1]",0.0834058163895793,0.101517549396878,0.121295076891555,0.95
"21","theta[1]",0.0843000346228705,0.101289236629712,0.120233146916336,1
