"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0218853920927492,0.497716675640598,0.980345703861504,0
"2","theta[1]",0.0376850170080692,0.280974390191745,0.631312034390432,0.05
"3","theta[1]",0.0596100812764927,0.250333832233827,0.517567608189816,0.1
"4","theta[1]",0.0742115669139165,0.239084262181852,0.465869212111798,0.15
"5","theta[1]",0.0806082992214045,0.225726259807288,0.418047276580919,0.2
"6","theta[1]",0.0882218507653798,0.223349039405317,0.39521729564641,0.25
"7","theta[1]",0.091524716446554,0.215679319081413,0.367825185229606,0.3
"8","theta[1]",0.098940881718316,0.215869338940036,0.35851733990654,0.35
"9","theta[1]",0.103519517028416,0.212055089615483,0.349348005281676,0.4
"10","theta[1]",0.111745139484955,0.215978818760091,0.340663010403574,0.45
"11","theta[1]",0.111609352839252,0.211810599876165,0.333706464836333,0.5
"12","theta[1]",0.115596982857382,0.210617306988545,0.323495744497019,0.55
"13","theta[1]",0.119130686369696,0.211356810422209,0.32226025240458,0.6
"14","theta[1]",0.122131512199005,0.207721203753227,0.310659909062586,0.65
"15","theta[1]",0.121638789364764,0.206223073317643,0.302542513296934,0.7
"16","theta[1]",0.12408502868027,0.207986552443498,0.305956888790572,0.75
"17","theta[1]",0.128559671038997,0.207182105134886,0.302019541818706,0.8
"18","theta[1]",0.127756293485006,0.20766886663389,0.296148954079347,0.85
"19","theta[1]",0.132041012675342,0.206636410950581,0.295005062554851,0.9
"20","theta[1]",0.131950895152878,0.20711831630227,0.291337363249991,0.95
"21","theta[1]",0.131062118390936,0.205750617813306,0.289901863315056,1
