"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0205071696416593,0.496851209777412,0.979879787942655,0
"2","theta[1]",0.111527546305189,0.209924075352584,0.336440409721358,0.05
"3","theta[1]",0.135383523467119,0.206080118988674,0.285776690506966,0.1
"4","theta[1]",0.152733483019271,0.202799051685684,0.257261474974788,0.221428571428571
"5","theta[1]",0.160401461950752,0.201052482740513,0.245156067342414,0.342857142857143
"6","theta[1]",0.166790040257823,0.201755006362286,0.238074008552669,0.464285714285714
"7","theta[1]",0.168979941968433,0.200996339924268,0.235433242782643,0.585714285714286
"8","theta[1]",0.171885476499413,0.200372194370205,0.230680771704731,0.707142857142857
"9","theta[1]",0.173255943764827,0.201281307604053,0.229311432962809,0.828571428571429
"10","theta[1]",0.175866691984416,0.200704714418173,0.225747846057349,0.95
"11","theta[1]",0.177294224151089,0.20019371388286,0.224290305411329,1
