"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-2.02551869025953,0.0586953552332395,2.13095381479613,0
"2","sigma[1]",0.539105785570931,1.88699323448356,6.87275848432997,0
"3","mu[1]",-0.641749548499837,-0.0441953580045729,0.592015686828387,0.05
"4","sigma[1]",0.419246358407168,0.799746003904309,1.64156887647434,0.05
"5","mu[1]",-0.109128142724866,-0.0981165646545067,-0.0868369113607699,5.025
"6","sigma[1]",0.0826107443031435,0.0901176084489626,0.0980433756671982,5.025
"7","mu[1]",-0.11860783532646,-0.0963798346315571,-0.0748937483837509,2.5375
"8","sigma[1]",0.112494720417198,0.126702372989687,0.142811450482416,2.5375
"9","mu[1]",-0.134176829375866,-0.0930559436828901,-0.0518084469145229,1.29375
"10","sigma[1]",0.149951414196972,0.17681022463637,0.210238333865976,1.29375
"11","mu[1]",-0.166439259872333,-0.0876094788323201,-0.00874919718867241,0.671875
"12","sigma[1]",0.195178769367787,0.244835813424864,0.310640780123284,0.671875
"13","mu[1]",-0.219109694464517,-0.0799450942541672,0.0616053219832279,0.3609375
"14","sigma[1]",0.244816610097787,0.331036720270137,0.45417534278209,0.3609375
"15","mu[1]",-0.287862331730826,-0.0710156182817472,0.155415257608833,0.20546875
"16","sigma[1]",0.291821223302946,0.431066666145576,0.645539775282133,0.20546875
"17","mu[1]",-0.18470800465772,-0.0835411501363643,0.0159206974895372,0.51640625
"18","sigma[1]",0.21223885378349,0.27801078177636,0.372203228080309,0.51640625
"19","mu[1]",-0.15755049238498,-0.0874760862532801,-0.0174249290979903,0.76640625
"20","sigma[1]",0.183906424948029,0.229355907114544,0.286344699484828,0.76640625
"21","mu[1]",-0.178188556890104,-0.0863323348274069,0.00446061786119406,0.594140625
"22","sigma[1]",0.202814378854589,0.259402157351052,0.334663330691283,0.594140625
"23","mu[1]",-0.244028336305975,-0.0720865297425422,0.101854551390004,0.283203125
"24","sigma[1]",0.264253944671064,0.370872522688936,0.538904829098492,0.283203125
"25","mu[1]",-0.399747776299123,-0.0566176274123187,0.267454570980152,0.127734375
"26","sigma[1]",0.339223717033427,0.547364477966597,0.943440626147414,0.127734375
"27","mu[1]",-0.201133389668029,-0.0827204464230867,0.0336386384933833,0.438671875
"28","sigma[1]",0.225850124495629,0.300903630015109,0.401605257351977,0.438671875
"29","mu[1]",-0.156344946645881,-0.0886204936993795,-0.0241678902829594,0.813671875
"30","sigma[1]",0.180719068143393,0.222558754946685,0.279132281301625,0.813671875
"31","mu[1]",-0.159837656069849,-0.088471252591225,-0.0167264517958903,0.719140625
"32","sigma[1]",0.190798890647948,0.236018882207878,0.29683817373552,0.719140625
"33","mu[1]",-0.238138233385974,-0.0753978706457205,0.084583064044765,0.3220703125
"34","sigma[1]",0.253965733981477,0.351318138648094,0.49941132598952,0.3220703125
"35","mu[1]",-0.178788215762594,-0.0841199728881879,0.0146743733327016,0.5552734375
"36","sigma[1]",0.209366489773314,0.269905216630643,0.356888520689969,0.5552734375
"37","mu[1]",-0.175766456645631,-0.0872767013807157,-0.00452381818629828,0.6330078125
"38","sigma[1]",0.19914896728357,0.252478020394962,0.321566702299649,0.6330078125
"39","mu[1]",-0.483597835786494,-0.040857407104866,0.411071982314523,0.0888671875
"40","sigma[1]",0.366001626821914,0.646550816925159,1.21555852218756,0.0888671875
"41","mu[1]",-0.321038002166801,-0.0605204756823846,0.20489513604081,0.1666015625
"42","sigma[1]",0.312136149786946,0.47963111668222,0.759828272271833,0.1666015625
"43","mu[1]",-0.263826217574337,-0.0714050939749987,0.121327059887627,0.2443359375
"44","sigma[1]",0.278659506112548,0.399982574196876,0.595999540869326,0.2443359375
"45","mu[1]",-0.205776945751145,-0.081187519923386,0.0432217776288729,0.3998046875
"46","sigma[1]",0.235378485153028,0.316091317742891,0.42686531064525,0.3998046875
"47","mu[1]",-0.19712236624613,-0.083738955109817,0.025475179830543,0.4775390625
"48","sigma[1]",0.22118114229795,0.288566807537589,0.385314991058857,0.4775390625
"49","mu[1]",-1.03251920091331,-0.0183649419468589,0.938533675185991,0.025
"50","sigma[1]",0.464042089783948,1.05834699472351,2.68257592714418,0.025
"51","mu[1]",-0.15648808055769,-0.0888224571965447,-0.0189996515019753,0.7900390625
"52","sigma[1]",0.18334981670539,0.226535007927598,0.283926922046307,0.7900390625
"53","mu[1]",-0.163974198563329,-0.0871055795597787,-0.00999391333819764,0.6955078125
"54","sigma[1]",0.191910666911101,0.241321398664556,0.306837118727453,0.6955078125
"55","mu[1]",-0.155685018761984,-0.0884703319982426,-0.0225448450576931,0.7427734375
"56","sigma[1]",0.187189572405713,0.232568158797914,0.293483362526837,0.7427734375
"57","mu[1]",-0.151404837361219,-0.0897760005800651,-0.0303769351447878,0.8373046875
"58","sigma[1]",0.178186127672734,0.219478303711116,0.274058216517342,0.8373046875
"59","mu[1]",-0.174539511862883,-0.0846100929638259,0.0113631421527007,0.57470703125
"60","sigma[1]",0.206138641047923,0.263886919404831,0.341497576988258,0.57470703125
"61","mu[1]",-0.104634034276475,-0.0990632354543295,-0.093468158492483,10
"62","sigma[1]",0.0602263830690495,0.0640567055863984,0.0682461820183293,10
