"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0273105908253901,0.507519285138661,0.978755995661194,0
"2","theta[1]",0.11564164327023,0.211074505825875,0.31949717705429,0.05
"3","theta[1]",0.135973585285523,0.207455923566379,0.287560770146004,0.1
"4","theta[1]",0.144257127375287,0.203556684426614,0.271234005680114,0.15
"5","theta[1]",0.148715210610545,0.202011281761507,0.263349195576287,0.2
"6","theta[1]",0.153940209891009,0.202307212786507,0.253306885647114,0.25
"7","theta[1]",0.157050595787017,0.201295660764397,0.24945385074445,0.3
"8","theta[1]",0.162396927415726,0.201379871932944,0.24185813077399,0.35
"9","theta[1]",0.164986514102824,0.201257396311175,0.241629929667931,0.4
"10","theta[1]",0.16709412316566,0.200575663512129,0.23914993701649,0.45
"11","theta[1]",0.166959706176433,0.201144309056632,0.237720214785186,0.5
"12","theta[1]",0.168153629670589,0.200570784291507,0.23520025518769,0.55
"13","theta[1]",0.172315863349559,0.20134921275256,0.233476992617111,0.6
"14","theta[1]",0.170048679139566,0.200585536357321,0.232135785905288,0.65
"15","theta[1]",0.172476022649392,0.20110551526077,0.231688579933344,0.7
"16","theta[1]",0.171816940740815,0.200253007088151,0.231023121028141,0.75
"17","theta[1]",0.174099057325331,0.200847708461001,0.229102507261743,0.8
"18","theta[1]",0.174542095783261,0.200646239855922,0.228729981160301,0.85
"19","theta[1]",0.175202077366138,0.200440326840493,0.227393015601034,0.9
"20","theta[1]",0.174713404319836,0.200776502215192,0.22642526358904,0.95
"21","theta[1]",0.1762029272877,0.20022853388172,0.226417313983214,1
