"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-2.01582229459086,-0.0674493063154571,1.62329708125058,0
"2","sigma[1]",0.515092669472116,1.62493637003206,5.76179533276989,0
"3","mu[1]",-0.722734495454751,-0.026937888960873,0.654529853413824,0.05
"4","sigma[1]",0.422758686493894,0.837714752393068,1.82004793744966,0.05
"5","mu[1]",-0.175572419893565,-0.0858842793919055,0.00439353978582146,0.573684210526316
"6","sigma[1]",0.207090864274105,0.264824706271827,0.341472380696253,0.573684210526316
"7","mu[1]",-0.138934544700904,-0.0909102265846041,-0.0417225824526423,1.09736842105263
"8","sigma[1]",0.161090385964894,0.19231966449127,0.232586674639581,1.09736842105263
"9","mu[1]",-0.128791019173935,-0.0943142986685355,-0.0594233146451319,1.62105263157895
"10","sigma[1]",0.136749330622947,0.158600027248547,0.185715608405179,1.62105263157895
"11","mu[1]",-0.121419116903605,-0.0952654446976543,-0.0697286714001782,2.14473684210526
"12","sigma[1]",0.120865862385785,0.13771024828245,0.158063479828495,2.14473684210526
"13","mu[1]",-0.117236711091479,-0.0964234973029941,-0.07620434717048,2.66842105263158
"14","sigma[1]",0.110077767415581,0.123772430680033,0.140728854001561,2.66842105263158
"15","mu[1]",-0.114619921933605,-0.09701866772445,-0.0802630166602018,3.19210526315789
"16","sigma[1]",0.101277071390549,0.113104464826722,0.126001983234468,3.19210526315789
"17","mu[1]",-0.112332813618276,-0.0975005481486607,-0.082460156523145,3.71578947368421
"18","sigma[1]",0.0943609795102047,0.104809980614329,0.116254975332917,3.71578947368421
"19","mu[1]",-0.110871986849702,-0.0978393675119129,-0.0845700635998677,4.23947368421053
"20","sigma[1]",0.0888979740724066,0.0980730833993455,0.107961096806538,4.23947368421053
"21","mu[1]",-0.110178912691724,-0.0979897807017288,-0.0864104563319315,4.76315789473684
"22","sigma[1]",0.0850593674580971,0.0926474633274492,0.101091976121303,4.76315789473684
"23","mu[1]",-0.108755469779989,-0.0982128666099897,-0.0877174877984036,5.28684210526316
"24","sigma[1]",0.0808270193516339,0.0878724771013787,0.0956842417284164,5.28684210526316
"25","mu[1]",-0.107972061210812,-0.0983373423934664,-0.0889439070541304,5.81052631578947
"26","sigma[1]",0.0774215703986827,0.0838395064621034,0.0910704846218955,5.81052631578947
"27","mu[1]",-0.107283937753624,-0.0985459186939233,-0.089775849710031,6.33421052631579
"28","sigma[1]",0.0745565558083949,0.080367089966917,0.0866127062407589,6.33421052631579
"29","mu[1]",-0.106530957148187,-0.098623485576175,-0.090578092184151,6.8578947368421
"30","sigma[1]",0.0717808275069012,0.077292288853834,0.083201793729044,6.8578947368421
"31","mu[1]",-0.106421609310769,-0.098704495441799,-0.0910726479108864,7.38157894736842
"32","sigma[1]",0.0693811533366991,0.0744763595444831,0.0801397642965334,7.38157894736842
"33","mu[1]",-0.105942960485428,-0.0988476313798089,-0.0917115091183947,7.90526315789474
"34","sigma[1]",0.0670285039106337,0.0719133515898329,0.0771384178412769,7.90526315789474
"35","mu[1]",-0.105562747952942,-0.0989020643408477,-0.0920732398092075,8.42894736842105
"36","sigma[1]",0.0652571966759545,0.0697515812877064,0.0746901436920148,8.42894736842105
"37","mu[1]",-0.105063035357644,-0.0988667523221073,-0.0926805713525816,8.95263157894737
"38","sigma[1]",0.0634028951917413,0.0676041969037046,0.0721412706169972,8.95263157894737
"39","mu[1]",-0.104704064453686,-0.098962581979838,-0.09297843068663,9.47631578947368
"40","sigma[1]",0.0619033092590716,0.0657429614471945,0.0700133481970868,9.47631578947368
"41","mu[1]",-0.104520016597643,-0.0990454070318198,-0.0936071117121294,10
"42","sigma[1]",0.060137000399745,0.0639492322303576,0.0678526242211408,10
