"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0182608951217696,0.491829697176465,0.978984002512892,0
"2","theta[1]",0.0214642454783363,0.218176448602067,0.563621579391294,0.05
"3","theta[1]",0.0218503664532095,0.167339474692403,0.410538240790422,0.1
"4","theta[1]",0.0249907538572823,0.143619560019195,0.336857653965341,0.15
"5","theta[1]",0.0312865831703591,0.137335023058647,0.305534431710603,0.2
"6","theta[1]",0.033333606307147,0.128413757131463,0.280024178804017,0.25
"7","theta[1]",0.0355933048102922,0.122747867645046,0.256087647351808,0.3
"8","theta[1]",0.0383499471733628,0.12236777487609,0.243163791096445,0.35
"9","theta[1]",0.0418954351311704,0.121236420097615,0.231620344505284,0.4
"10","theta[1]",0.043236393551377,0.117701846773204,0.219119755543444,0.45
"11","theta[1]",0.0443340352464015,0.115373171048213,0.213896546953095,0.5
"12","theta[1]",0.0455586956425555,0.113742940503504,0.207177781951081,0.55
"13","theta[1]",0.0462750367961762,0.114667141922917,0.206617753739064,0.6
"14","theta[1]",0.0513068978430526,0.113443993784375,0.198636652183734,0.65
"15","theta[1]",0.0481369144139518,0.110277162164125,0.19113987368257,0.7
"16","theta[1]",0.0511577602307796,0.110815802073763,0.186914867410926,0.75
"17","theta[1]",0.0521644643905308,0.109895852952377,0.18523438411407,0.8
"18","theta[1]",0.052769627074749,0.110121914934731,0.186486682608792,0.85
"19","theta[1]",0.0534674903026605,0.108319924239128,0.18035130751324,0.9
"20","theta[1]",0.0581398915428945,0.109558532881962,0.17737899036356,0.95
"21","theta[1]",0.0553900365486298,0.106940438205153,0.173276158738305,1
