"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-2.49252954573715,-0.106831991890017,1.50628297578307,0
"2","sigma[1]",0.51611697564679,1.69804321375228,5.90118493743367,0
"3","mu[1]",-0.699862133901698,-0.0277520996061529,0.653133340754374,0.05
"4","sigma[1]",0.41201136299621,0.818665176984624,1.83362364081883,0.05
"5","mu[1]",-0.108874346429032,-0.098087563958299,-0.0869211321146234,5.025
"6","sigma[1]",0.0827579373351007,0.0901792168450228,0.0990594226171744,5.025
"7","mu[1]",-0.118533883806776,-0.0964025415325054,-0.0747089355720867,2.5375
"8","sigma[1]",0.112736872882199,0.126864526763152,0.144148841088749,2.5375
"9","mu[1]",-0.135298088483638,-0.0924907017017245,-0.0514341737493537,1.29375
"10","sigma[1]",0.149803117638733,0.177014416217532,0.211089694066433,1.29375
"11","mu[1]",-0.168458916138037,-0.0871022033145521,-0.00863118814652983,0.671875
"12","sigma[1]",0.19650449388875,0.245021767407314,0.309132524315787,0.671875
"13","mu[1]",-0.210570880059825,-0.0772249478431035,0.0619730328769658,0.3609375
"14","sigma[1]",0.24404124601431,0.332080525048322,0.465460316903798,0.3609375
"15","mu[1]",-0.308941748648595,-0.0715891359272049,0.157950290702976,0.20546875
"16","sigma[1]",0.289939559235894,0.433678947499252,0.681864777854113,0.20546875
"17","mu[1]",-0.181952856225193,-0.0850921202737294,0.0114700320051634,0.51640625
"18","sigma[1]",0.214608209147303,0.278674411425531,0.368961717019308,0.51640625
"19","mu[1]",-0.156353628213598,-0.0879827016669863,-0.0163126403237378,0.76640625
"20","sigma[1]",0.185618714791869,0.230815157385405,0.292161840146678,0.76640625
"21","mu[1]",-0.17137866493299,-0.085265940451815,0.00131719298616533,0.594140625
"22","sigma[1]",0.202424732575511,0.260250970463975,0.338364251918074,0.594140625
"23","mu[1]",-0.236372429247172,-0.0706648511767506,0.104893918338093,0.283203125
"24","sigma[1]",0.266589424931345,0.372485226847786,0.526608383807859,0.283203125
"25","mu[1]",-0.393522719290296,-0.0563915337282153,0.294082794167113,0.127734375
"26","sigma[1]",0.336143844882237,0.539894950620095,0.939878390983232,0.127734375
"27","mu[1]",-0.199126935414545,-0.0822469192717189,0.0355235979602261,0.438671875
"28","sigma[1]",0.226896515153372,0.300447369352122,0.401941592811671,0.438671875
"29","mu[1]",-0.152997011234627,-0.0895352936361905,-0.025611843285362,0.813671875
"30","sigma[1]",0.178583388616519,0.222077652070754,0.278226689585843,0.813671875
"31","mu[1]",-0.10465067193645,-0.0990500393746266,-0.0934006111390134,10
"32","sigma[1]",0.0600805221429801,0.0639756156347632,0.0680697351610817,10
