"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-1.84878310804757,0.0278248187850155,1.90555838350754,0
"2","sigma[1]",0.508240893802383,1.85585732250387,6.22166309143212,0
"3","mu[1]",-0.637954751451054,-0.0151703425709904,0.676744482188683,0.05
"4","sigma[1]",0.408073608227476,0.814883780246114,1.74277674694751,0.05
"5","mu[1]",-0.108444674276331,-0.0981278434447443,-0.0871365073858542,5.025
"6","sigma[1]",0.0828283160045001,0.0902464608527366,0.0984078728323366,5.025
"7","mu[1]",-0.117190585117979,-0.0961835201255442,-0.0745431583322978,2.5375
"8","sigma[1]",0.112480297955933,0.126804464723557,0.144261879384327,2.5375
"9","mu[1]",-0.135295765183033,-0.0926853030933173,-0.0510226120658984,1.29375
"10","sigma[1]",0.149446922790816,0.177452554945417,0.209883846194227,1.29375
"11","mu[1]",-0.16519189419422,-0.0870469778954062,-0.0124572859053902,0.671875
"12","sigma[1]",0.196407259116695,0.24532360171034,0.314096683335238,0.671875
"13","mu[1]",-0.220641459252895,-0.0776642266459721,0.0595524436085168,0.3609375
"14","sigma[1]",0.243159627569386,0.331378949434686,0.459481850882912,0.3609375
"15","mu[1]",-0.296464675663422,-0.0675590283188193,0.158292159348503,0.20546875
"16","sigma[1]",0.295665468170499,0.433847639366882,0.663551292130446,0.20546875
"17","mu[1]",-0.186335371447314,-0.0834637387225637,0.0198034114026889,0.51640625
"18","sigma[1]",0.214769397699021,0.278998509161141,0.366088465317287,0.51640625
"19","mu[1]",-0.152861639000871,-0.0876975330813358,-0.0196888609158173,0.76640625
"20","sigma[1]",0.187113387157694,0.229069938203913,0.289171120293765,0.76640625
"21","mu[1]",-0.178623114231931,-0.0863129820279328,0.00238335799938136,0.594140625
"22","sigma[1]",0.203532614385438,0.260166378687824,0.339383297307501,0.594140625
"23","mu[1]",-0.234198217092083,-0.0719691669810055,0.0880733552931934,0.283203125
"24","sigma[1]",0.260104637622193,0.36906110279746,0.532391540395049,0.283203125
"25","mu[1]",-0.430607538189727,-0.0557127819548965,0.30935801985862,0.127734375
"26","sigma[1]",0.334725429632071,0.547794603466002,0.952476641377214,0.127734375
"27","mu[1]",-0.199063862577467,-0.0823816497712106,0.0366670409997294,0.438671875
"28","sigma[1]",0.228849255218868,0.300738347910322,0.402038742986119,0.438671875
"29","mu[1]",-0.15470684298446,-0.0882257068117764,-0.0209043082934516,0.813671875
"30","sigma[1]",0.181217036773478,0.222352830625535,0.277536443855671,0.813671875
"31","mu[1]",-0.159412368944281,-0.0869101139482299,-0.0127873352059226,0.719140625
"32","sigma[1]",0.189048971571177,0.237277632823746,0.302333947385842,0.719140625
"33","mu[1]",-0.217999671191733,-0.0763477516974595,0.068366208038876,0.3220703125
"34","sigma[1]",0.255103052405184,0.347076972675036,0.482520771987194,0.3220703125
"35","mu[1]",-0.176869520775498,-0.0849501903305802,0.00646204468539416,0.5552734375
"36","sigma[1]",0.209751142257101,0.267812224893524,0.347970333358157,0.5552734375
"37","mu[1]",-0.16838957403587,-0.0860801907694203,-0.00121185843341497,0.6330078125
"38","sigma[1]",0.195658387706076,0.250566154083826,0.324444346996259,0.6330078125
"39","mu[1]",-0.460378538315936,-0.0414565760205224,0.407011161409263,0.0888671875
"40","sigma[1]",0.362352986587756,0.635517244138783,1.17625500718265,0.0888671875
"41","mu[1]",-0.104522048740622,-0.0990433322932695,-0.0934499686147737,10
"42","sigma[1]",0.0601322053219833,0.063913714177701,0.067983105272003,10
