"a0","lc_a0","deriv_lc","second_deriv_lc","dataset"
0,-0.00335600147120019,-1121.73014339521,210175.075318647,"dataset_4"
0.05,-19.1197755037934,-246.344531429705,1639.98263379824,"dataset_4"
0.1,-30.0625465411068,-199.616088442674,578.54440222936,"dataset_4"
0.15,-39.4797143353661,-179.514964885467,292.561125152351,"dataset_4"
0.2,-48.111507638137,-167.082545008788,186.688593908733,"dataset_4"
0.25,-56.2656482564767,-159.144226850645,134.252426645893,"dataset_4"
0.3,-64.0825728343951,-153.767649555346,97.8661081436985,"dataset_4"
0.35,-71.6581850011605,-149.460352802232,73.3673493144452,"dataset_4"
0.4,-79.0391031311414,-145.695354621743,63.7223587105582,"dataset_4"
0.45,-86.2602711588436,-143.097372883216,52.3491164088773,"dataset_4"
0.5,-93.3594894054461,-140.877896770848,41.3027037478751,"dataset_4"
0.55,-100.352360422724,-138.731849509168,35.1295775836988,"dataset_4"
0.6,-107.25412050873,-137.328810818147,30.9361536956276,"dataset_4"
0.65,-114.080728443943,-136.06276974568,28.1189601233345,"dataset_4"
0.7,-120.837954114294,-134.419295064348,23.3066813147234,"dataset_4"
0.75,-127.526983271606,-133.268197036025,20.8942654370621,"dataset_4"
0.8,-134.172260204421,-132.504354727105,18.830216237584,"dataset_4"
0.85,-140.7655097377,-131.479630576781,16.7004305033624,"dataset_4"
0.9,-147.319923714525,-130.524236096954,15.6058679574817,"dataset_4"
0.95,-153.830175153914,-129.866610387233,14.5542697975907,"dataset_4"
1,-160.309578876383,-129.282508400634,13.7329383001306,"dataset_4"
