"a0","lc_a0","deriv_lc","second_deriv_lc","dataset"
0,0.000911616384521974,-1123.89508180002,200219.126176514,"dataset_1"
0.05,-19.0320376951505,-243.46124031354,1687.94437810712,"dataset_1"
0.1,-29.7425824712411,-193.558324488691,567.845123776766,"dataset_1"
0.15,-38.8769965903173,-172.771495536701,285.83476630917,"dataset_1"
0.2,-47.1857509278543,-160.959444170301,219.373272718934,"dataset_1"
0.25,-54.996908494851,-152.350058958895,142.102965833405,"dataset_1"
0.3,-62.4651777803636,-146.129329817193,96.7792007175085,"dataset_1"
0.35,-69.6526991706987,-141.586595461582,79.2392342730091,"dataset_1"
0.4,-76.6575243957674,-137.978892893867,65.6094617799681,"dataset_1"
0.45,-83.4736617728011,-134.946103276897,57.1327108241858,"dataset_1"
0.5,-90.165039466311,-132.463121892834,47.5424046574881,"dataset_1"
0.55,-96.7351095934082,-130.552391303152,39.0672145944081,"dataset_1"
0.6,-103.204844071714,-128.592460733542,36.7584568865132,"dataset_1"
0.65,-109.602771766639,-127.37878536333,30.0197284698515,"dataset_1"
0.7,-115.920135551687,-125.61377055087,25.4766880610478,"dataset_1"
0.75,-122.171922927423,-124.385599793475,22.5879845238269,"dataset_1"
0.8,-128.360617780098,-123.271235007933,20.5405900693077,"dataset_1"
0.85,-134.50169352025,-122.509125601431,20.4085050608101,"dataset_1"
0.9,-140.594443167094,-121.434633701355,17.3464615617831,"dataset_1"
0.95,-146.644600199092,-120.49331739402,14.506663930888,"dataset_1"
1,-152.65217695805,-119.888729354423,14.1811770075074,"dataset_1"
