"a0","lc_a0","deriv_lc","second_deriv_lc","dataset"
0,-0.00386631330201226,-1132.31914145499,228887.40715056,"dataset_5"
0.05,-18.7436761270333,-239.183327357167,1583.22909312023,"dataset_5"
0.1,-29.3127626106122,-192.248434537453,600.196503920924,"dataset_5"
0.15,-38.3395812318773,-171.71411782715,325.826643547069,"dataset_5"
0.2,-46.5575894744412,-159.735091574892,194.030721378611,"dataset_5"
0.25,-54.2923035914571,-150.801861419668,134.029998762639,"dataset_5"
0.3,-61.6827322989251,-144.930614156645,94.7281986801245,"dataset_5"
0.35,-68.8161079225187,-140.575990461442,79.7002216934052,"dataset_5"
0.4,-75.7629971264697,-136.89430406227,64.9555732547487,"dataset_5"
0.45,-82.5536007824207,-134.347909300035,51.6851622638897,"dataset_5"
0.5,-89.2077764330494,-131.954949429116,42.3015320488121,"dataset_5"
0.55,-95.7591874672001,-130.0333572712,35.9364971554096,"dataset_5"
0.6,-102.21614418301,-128.2365209667,31.7234634992237,"dataset_5"
0.65,-108.591990982278,-126.848717728027,26.4431681519782,"dataset_5"
0.7,-114.91188028674,-125.827450617199,23.3919343586713,"dataset_5"
0.75,-121.152106537757,-124.379712212208,20.875005724658,"dataset_5"
0.8,-127.362972732207,-123.505555074125,18.0905486822212,"dataset_5"
0.85,-133.51659511259,-122.741791326004,17.3424201055132,"dataset_5"
0.9,-139.616310139077,-121.709979845015,15.4989430706319,"dataset_5"
0.95,-145.690205189191,-120.955302011732,13.9857360892347,"dataset_5"
1,-151.724012233983,-120.369650073447,12.9438225371978,"dataset_5"
