"a0","lc_a0","deriv_lc","second_deriv_lc","dataset"
0,-0.00757081595786335,-1107.38291182443,213037.765407514,"dataset_3"
0.05,-18.222742427655,-224.255658233797,1793.63739063324,"dataset_3"
0.1,-27.9975110716783,-175.061918836433,631.759994348606,"dataset_3"
0.15,-36.146682432412,-152.763748971109,323.502435101076,"dataset_3"
0.2,-43.4549081948318,-140.153071205309,209.652784896258,"dataset_3"
0.25,-50.2404331360267,-131.776889873075,149.904276049496,"dataset_3"
0.3,-56.656045817256,-125.607087413321,111.427102400137,"dataset_3"
0.35,-62.7835142105946,-120.398602744994,84.7096743789916,"dataset_3"
0.4,-68.7035350329187,-116.419263550698,67.2042431468144,"dataset_3"
0.45,-74.4473759833183,-113.504406720511,57.1019623349839,"dataset_3"
0.5,-80.0414280089657,-110.75265421403,52.3429351539071,"dataset_3"
0.55,-85.5187998878507,-108.440972338832,42.2795884726984,"dataset_3"
0.6,-90.872995018565,-106.290546192408,35.186661448146,"dataset_3"
0.65,-96.1512865585277,-104.593538344946,33.4679844680777,"dataset_3"
0.7,-101.338526213411,-103.023215104107,28.6151967290807,"dataset_3"
0.75,-106.461067982894,-101.686483306993,24.6186743513463,"dataset_3"
0.8,-111.517389111522,-100.659894446615,23.7222354915903,"dataset_3"
0.85,-116.512851192486,-99.4840107933896,20.9689164127758,"dataset_3"
0.9,-121.456347699047,-98.3552626551613,19.2652539195242,"dataset_3"
0.95,-126.351179659421,-97.3197427974432,16.6065070857276,"dataset_3"
1,-131.211683800097,-96.5826044326952,15.742751080068,"dataset_3"
