"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.00505323350157394,-1013.38678337994,519924.480165147
0.05,-26.9837054858455,-510.331872408429,204.282536446728
0.1,-52.3441611855448,-504.990687385271,44.539903778903
0.221428571428571,-113.502786257729,-502.617907155491,9.54905279976083
0.342857142857143,-174.484561233512,-501.873589053742,4.42368548683589
0.464285714285714,-235.39985480591,-501.454420261007,2.18730195044191
0.585714285714286,-296.275656613677,-501.272205841689,1.49841903877677
0.707142857142857,-357.134730848805,-501.08875075877,0.931780411512591
0.828571428571429,-417.977378798143,-501.047212996527,0.802505636384012
0.95,-478.80863346253,-500.913298922293,0.499867877952056
1,-503.856200872519,-500.86494928285,0.412423332920298
