"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.666960646172321,-11075.8834072149,8369371.86697218
0.05,-129.529676360316,-1542.13474296536,9443.75547054876
0.1,-199.098997836104,-1294.25345772912,2518.27548733912
0.15,-261.578381534505,-1211.4666274908,1147.35260203714
0.2,-321.014123630001,-1169.86692269669,620.558161994908
0.25,-378.834118514162,-1144.36521853924,398.131127015455
0.3,-435.639182678821,-1126.22761028012,293.072433734313
0.35,-491.619248902186,-1115.91811557699,210.282257075189
0.4,-547.198961999647,-1106.2955602676,150.372131009586
0.45,-602.300729675847,-1099.2715852679,126.725971617503
0.5,-657.177915276455,-1093.03973563436,98.9817906159442
0.55,-711.675708970798,-1089.06339369993,83.7310600674246
0.6,-766.031288683457,-1085.0780951047,71.3091275785118
0.65,-820.213314724819,-1081.8429962365,61.825150243938
0.7,-874.180746966763,-1078.7555993201,50.8277419668157
0.75,-928.072343038863,-1076.56821123627,46.7522460767068
0.8,-981.803824097673,-1074.57881473272,40.998104213737
0.85,-1035.55109163951,-1072.33343858332,33.8238760472741
0.9,-1089.08224498797,-1070.75764456631,31.5433131835889
0.95,-1142.56860221382,-1069.4663843213,28.6509808972478
1,-1196.00756971036,-1067.65865021757,25.8400283386
