"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.00264683538095867,-100.786273097109,8024.76628941228
0.05,-2.74636474564422,-42.086259101258,183.191315683587
0.1,-4.69988751091066,-37.4871995823951,49.2318122056424
0.15,-6.52064804313864,-35.8216541417171,22.9807223889161
0.2,-8.29222067149411,-35.044816025997,12.5538211815222
0.25,-10.0265190364039,-34.4506570058306,7.57029621036645
0.3,-11.7441600777156,-34.1357454252096,5.52211360268529
0.35,-13.4450618205025,-33.956674506275,4.34772093627544
0.4,-15.137740910387,-33.7705714602905,3.11198039158262
0.45,-16.821388855635,-33.5668189680404,2.27332698889836
0.5,-18.4964180506208,-33.5190578894047,2.09693857482512
0.55,-20.1716899529839,-33.4393484157322,1.63216408523704
0.6,-21.8391410264935,-33.3730048616362,1.55575675885552
0.65,-23.5075805496852,-33.269512276877,1.14727168749869
0.7,-25.1670643617584,-33.2480176373052,1.01943108245018
0.75,-26.8239780605833,-33.1628099910533,0.802316825781872
0.8,-28.4823581742429,-33.1343255626914,0.825995811376515
0.85,-30.1356925594661,-33.1059379917783,0.771174340487505
0.9,-31.788671221029,-33.0589316803932,0.644840728049985
0.95,-33.4492688088306,-33.021968254499,0.542244589456914
1,-35.0985567284215,-32.9895567182476,0.495257901132391
