"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.133086234390752,-1.49491755745524e+290,NA
0.05,-91.4495898517209,-1437.68354589607,1172.58018583362
0.1,-162.345473223936,-1403.66985300489,432.105927178403
0.15,-232.17951591552,-1388.42088899363,211.182440422475
0.2,-301.311923675753,-1381.0929965273,96.3067579951603
0.25,-370.204467610301,-1377.52952700743,53.8728858942632
0.3,-439.02333299629,-1375.08490713767,33.4742422590498
0.35,-507.758933838666,-1373.82279524572,24.9559119322803
0.4,-576.406331741069,-1372.76566384017,19.8475410195533
0.45,-645.016863718604,-1371.59344740464,15.1015994814225
0.5,-713.597735071173,-1370.96796807986,11.5515348003246
0.55,-782.134253190459,-1370.61753734716,10.5956074683927
0.6,-850.658611463751,-1370.22433415534,8.25533024221659
0.65,-919.149680989958,-1369.67651942549,7.47711129765958
0.7,-987.627516298606,-1369.4193686425,6.70151143125258
0.75,-1056.08291750387,-1369.12864409691,5.73315914371051
0.8,-1124.52948822922,-1368.83909621771,4.89428893500008
0.85,-1192.96311263426,-1368.57238260756,4.22545091016218
0.9,-1261.39720749985,-1368.38349850166,3.58951894147322
0.95,-1329.80750472756,-1368.22076634933,3.34795284201391
1,-1398.20947657857,-1368.01440204047,2.88692545820959
