"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.00446151179601728,-942.472024789053,566855.22486363
0.05,-18.4991889748939,-334.367722974887,187.379928845025
0.1,-35.0973311978693,-330.501106760303,56.5199113793497
0.15,-51.5527839083284,-328.506814262934,24.0872797842021
0.2,-67.951636057088,-327.514941460192,12.0133398708858
0.25,-84.3171504365302,-327.067330456573,8.43947282427689
0.3,-100.664611546858,-326.74877616357,5.37129397444369
0.35,-116.993449197161,-326.488265153754,3.86194284170051
0.4,-133.312889425688,-326.360638072917,3.29465573465859
0.45,-149.626458596992,-326.198198717051,2.58771598919702
0.5,-165.934457528327,-326.066511036525,2.00022034184076
0.55,-182.234974567361,-325.969828153451,1.40082185309439
0.6,-198.532425290211,-325.922755013592,1.43660540113342
0.65,-214.825698480117,-325.840775810763,1.20167211676016
0.7,-231.118596786661,-325.80858698709,1.03043212328339
0.75,-247.408337490834,-325.78114226758,0.955212231448968
0.8,-263.69200759705,-325.732362103574,0.866875685547711
0.85,-279.980304613249,-325.642481877361,0.584299945898238
0.9,-296.261549177017,-325.625673118047,0.573797269607894
0.95,-312.545673440996,-325.607385408741,0.541544320120011
1,-328.82291116064,-325.575387330069,0.443909233086742
