"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-1.79703714483442,-641.432026336052,42490.1064741928
0.05,-18.5341832941889,-279.285024856267,1396.89350359837
0.1,-31.2759011483457,-239.699409159283,494.035818206161
0.15,-42.7673722818364,-222.540607854313,231.930670835871
0.2,-53.6516359840624,-213.744058281385,131.425932479513
0.25,-64.1963692125775,-208.589913012102,82.5964488733443
0.3,-74.548971203165,-205.349212181781,60.8126973483231
0.35,-84.7243483512101,-202.405653133351,44.8462414210589
0.4,-94.802932083548,-200.861516772141,34.481152350796
0.45,-104.787479087764,-198.973698866072,26.1899337216382
0.5,-114.718593069535,-198.010921476345,23.712040714774
0.55,-124.600333546078,-196.890870595837,17.7208203778137
0.6,-134.397112730492,-196.082937206057,14.5324165758575
0.65,-144.190904087499,-195.373548950794,12.8184051450662
0.7,-153.945785964336,-194.691676468354,11.4335457732814
0.75,-163.66434917829,-194.261194477459,10.1859101565497
0.8,-173.379616280604,-193.612295793607,7.9506982628518
0.85,-183.050202499322,-193.490501065639,7.82928576850099
0.9,-192.7190109501,-193.165420254518,6.95394376956392
0.95,-202.360212982677,-192.732147487234,5.82551955154486
1,-211.985793228643,-192.381720511928,5.44324673979281
