"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.00403362403027607,-212.299359993369,4502.85177053893
0.05,-8.03370072048686,-136.593670885146,577.838569367632
0.1,-14.3727444450354,-118.813020552924,190.527455393114
0.15,-20.1080354399586,-111.883547409216,97.819373400107
0.2,-25.6263568324512,-107.858077810519,60.1637343868679
0.25,-30.9616746253099,-105.570432738355,42.313526580263
0.3,-36.1787646222756,-103.980546988582,29.5723709043759
0.35,-41.3184431050658,-102.436106701902,21.5288628417256
0.4,-46.431138726001,-101.57698619253,16.2514267087663
0.45,-51.4892669032919,-100.625981772019,13.1840040205643
0.5,-56.5127274383511,-100.079130865649,10.8798694488869
0.55,-61.5092296468165,-99.7459260636258,9.90404963301262
0.6,-66.4870168285392,-99.2165978860196,7.53760097213308
0.65,-71.4288306534856,-98.950767587545,6.85430560153873
0.7,-76.3623043216623,-98.5215222562893,5.41220548023011
0.75,-81.2889503119058,-98.2050171925215,4.62775800163035
0.8,-86.1963149881092,-98.0587350527768,4.55514371992831
0.85,-91.093454096874,-97.8634751006501,4.04816849447525
0.9,-95.9772812101862,-97.6541779040013,3.40886677977142
0.95,-100.857238073129,-97.5206983721495,3.11708460571026
1,-105.727176669554,-97.3240449502593,2.86882840720136
